level,equipment_id,code,sent_datetime
0,BMU_1,BMU_1_CELL_LOW_VOLT_SLIGHT,2025-06-21 02:39:00
0,BMU_1,BMU_1_CELL_OVER_VOLT_SLIGHT,2025-06-22 14:40:00
0,BMU_1,BMU_1_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:43:00
0,BMU_1,BMU_1_CELL_SOC_LOW_SLIGHT,2025-06-21 04:17:00
0,BMU_1,BMU_1_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:28:00
0,BMU_1,BMU_1_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_1_CELL_OVER_TEMP_SLIGHT,2025-08-05 14:29:00
0,BMU_1,BMU_1_rack_1_CELL_OVER_VOLT_SLIGHT,2025-08-05 14:32:00
0,BMU_1,BMU_1_rack_1_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:30:00
0,BMU_1,BMU_1_rack_1_CELL_SOC_LOW_SLIGHT,2025-06-21 04:20:00
0,BMU_1,BMU_1_rack_1_CELL_UNDER_VOLT_SLIGHT,2025-06-21 02:26:00
0,BMU_1,BMU_1_rack_1_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:28:00
0,BMU_1,BMU_1_rack_1_OVER_CURRENT_SLIGHT,2025-08-05 14:33:00
0,BMU_1,BMU_1_rack_1_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_2_CELL_OVER_TEMP_SLIGHT,2025-08-05 14:29:00
0,BMU_1,BMU_1_rack_2_CELL_OVER_VOLT_SLIGHT,2025-08-05 14:32:00
0,BMU_1,BMU_1_rack_2_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:36:00
0,BMU_1,BMU_1_rack_2_CELL_SOC_LOW_SLIGHT,2025-06-21 04:17:00
0,BMU_1,BMU_1_rack_2_CELL_UNDER_VOLT_SLIGHT,2025-06-21 02:27:00
0,BMU_1,BMU_1_rack_2_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:28:00
0,BMU_1,BMU_1_rack_2_OVER_CURRENT_SLIGHT,2025-08-05 14:33:00
0,BMU_1,BMU_1_rack_2_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_3_CELL_OVER_TEMP_SLIGHT,2025-08-05 14:29:00
0,BMU_1,BMU_1_rack_3_CELL_OVER_VOLT_SLIGHT,2025-08-05 14:32:00
0,BMU_1,BMU_1_rack_3_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:31:00
0,BMU_1,BMU_1_rack_3_CELL_SOC_LOW_SLIGHT,2025-06-21 04:18:00
0,BMU_1,BMU_1_rack_3_CELL_UNDER_VOLT_SLIGHT,2025-06-21 02:26:00
0,BMU_1,BMU_1_rack_3_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:28:00
0,BMU_1,BMU_1_rack_3_OVER_CURRENT_SLIGHT,2025-08-05 14:33:00
0,BMU_1,BMU_1_rack_3_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_4_CELL_OVER_TEMP_SLIGHT,2025-08-05 14:29:00
0,BMU_1,BMU_1_rack_4_CELL_OVER_VOLT_SLIGHT,2025-08-05 14:32:00
0,BMU_1,BMU_1_rack_4_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:33:00
0,BMU_1,BMU_1_rack_4_CELL_SOC_LOW_SLIGHT,2025-06-21 04:17:00
0,BMU_1,BMU_1_rack_4_CELL_UNDER_VOLT_SLIGHT,2025-06-21 02:26:00
0,BMU_1,BMU_1_rack_4_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:28:00
0,BMU_1,BMU_1_rack_4_OVER_CURRENT_SLIGHT,2025-08-05 14:33:00
0,BMU_1,BMU_1_rack_4_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_5_CELL_OVER_TEMP_SLIGHT,2025-08-05 14:29:00
0,BMU_1,BMU_1_rack_5_CELL_OVER_VOLT_SLIGHT,2025-08-05 14:32:00
0,BMU_1,BMU_1_rack_5_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:31:00
0,BMU_1,BMU_1_rack_5_CELL_SOC_LOW_SLIGHT,2025-06-21 04:18:00
0,BMU_1,BMU_1_rack_5_CELL_UNDER_VOLT_SLIGHT,2025-06-21 02:35:00
0,BMU_1,BMU_1_rack_5_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_5_OVER_CURRENT_SLIGHT,2025-08-05 14:33:00
0,BMU_1,BMU_1_rack_5_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,BMU_1,BMU_1_rack_6_CELL_OVER_TEMP_SLIGHT,2025-08-05 14:29:00
0,BMU_1,BMU_1_rack_6_CELL_OVER_VOLT_SLIGHT,2025-08-05 14:32:00
0,BMU_1,BMU_1_rack_6_CELL_SOC_HIGH_SLIGHT,2025-06-22 14:43:00
0,BMU_1,BMU_1_rack_6_CELL_SOC_LOW_SLIGHT,2025-06-21 04:07:00
0,BMU_1,BMU_1_rack_6_CELL_UNDER_VOLT_SLIGHT,2025-06-21 02:39:00
0,BMU_1,BMU_1_rack_6_MODULE_UNDER_VOLT_SLIGHT,2025-06-21 02:28:00
0,BMU_1,BMU_1_rack_6_OVER_CURRENT_SLIGHT,2025-08-05 14:33:00
0,BMU_1,BMU_1_rack_6_UNDER_VOLT_SLIGHT,2025-06-21 02:29:00
0,PCS_1,CABINET_HEATING_ON,2025-09-24 22:20:00
0,PCS_1,GRID_DELAY,2025-11-10 05:38:00
0,PCS_1,GRID_UNSTABLE,2025-11-10 14:25:00
0,PCS_1,OPEN_DOOR,2025-11-06 14:38:00
1,BMU_1,BMU_1_BMS_ALARM,2025-11-06 14:41:00
1,BMU_1,BMU_1_CELL_LOW_VOLT_MEDIUM,2025-06-21 01:38:00
1,BMU_1,BMU_1_CELL_OVER_VOLT_MEDIUM,2025-06-22 14:48:00
1,BMU_1,BMU_1_RACK_1_CELL_OVER_VOLT_MEDIUM,2025-08-07 13:35:00
1,BMU_1,BMU_1_RACK_1_OVER_CURRENT_MEDIUM,2025-08-07 13:33:00
1,BMU_1,BMU_1_RACK_2_CELL_OVER_VOLT_MEDIUM,2025-08-07 13:35:00
1,BMU_1,BMU_1_RACK_2_OVER_CURRENT_MEDIUM,2025-08-07 13:33:00
1,BMU_1,BMU_1_RACK_3_CELL_OVER_VOLT_MEDIUM,2025-08-07 13:35:00
1,BMU_1,BMU_1_RACK_3_OVER_CURRENT_MEDIUM,2025-08-07 13:33:00
1,BMU_1,BMU_1_RACK_4_CELL_OVER_VOLT_MEDIUM,2025-08-07 13:35:00
1,BMU_1,BMU_1_RACK_4_OVER_CURRENT_MEDIUM,2025-08-07 13:33:00
1,BMU_1,BMU_1_RACK_5_CELL_OVER_VOLT_MEDIUM,2025-08-07 13:35:00
1,BMU_1,BMU_1_RACK_5_OVER_CURRENT_MEDIUM,2025-08-07 13:33:00
1,BMU_1,BMU_1_RACK_6_CELL_OVER_VOLT_MEDIUM,2025-08-07 13:35:00
1,BMU_1,BMU_1_RACK_6_OVER_CURRENT_MEDIUM,2025-08-07 13:33:00
1,BMU_1,BMU_1_rack_1_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_1_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_1_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_1_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_2_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_2_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_2_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_2_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_3_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_3_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_3_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_3_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_4_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_4_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_4_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_4_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_5_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_5_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_5_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_5_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_6_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_6_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_6_CELL_UNDER_VOLT_MEDIUM,2025-06-21 01:38:00
1,BMU_1,BMU_1_rack_6_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_6_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,EXPRF_FAN_ALARM,2025-08-11 15:53:00
1,BMU_1,FIRE_PROT_ALARM_I,2025-08-05 14:12:00
1,BMU_1,TMS_ERROR_1,2025-08-29 11:00:00
1,BMU_1,TMS_ERROR_101,2025-11-06 14:12:00
1,BMU_1,TMS_ERROR_102,2025-11-06 14:34:00
1,BMU_1,TMS_ERROR_103,2025-09-17 16:33:00
1,FemcStatus,OC_1_BMS_1,2025-08-05 14:33:00
1,FemcStatus,OT_1_BMS_1,2025-08-05 14:30:00
1,FemcStatus,OV_1_BMS_1,2025-08-05 14:33:00
1,PCS_1,24V_BUFFER_WARNING,2025-11-06 14:12:00
1,PCS_1,48V_POWER_SUPPLY_WARNING,2025-11-06 14:12:00
1,PCS_1,AC_DC_DOOR_WARNING,2025-11-06 14:38:00
1,PCS_1,AMBIENT_TEMP_LIMITATION,2025-07-15 01:12:00
1,PCS_1,BATTERY_VOLT_LIMITATION,2025-11-06 14:11:00
1,PCS_1,CONNECTION_ERROR(PCS_1),2025-09-17 12:53:00
1,PCS_1,EX_POWER_LIMITATION,2025-11-06 14:11:00
1,PCS_1,IGBT_TEMP_LIMITATION,2025-11-27 13:13:00
1,PCS_1,INSULATION_RESISTANCE_WARNING,2025-08-08 11:47:00
1,PCS_1,INVERTER_POWER_LIMITED,2025-11-27 13:13:00
1,PCS_1,INVERTER_WARNING,2025-11-27 12:55:00
1,PCS_1,LOW_INPUT_VOLTAGE,2025-11-06 14:12:00
1,PCS_1,OVER_TEMP,2025-11-27 12:55:00
1,PCS_1,PCS_1_IGBT_TEMP_M1,2025-11-27 12:55:00
1,PCS_1,POWER_MODULE_NOT_READY,2025-11-27 14:54:00
1,PCS_1,SCADA_DATA_WARNING,2025-11-06 14:37:00
1,TR,TR_OVER_TEMP,2025-07-25 14:43:00
1,UPS,UPS電量不足,2025-09-17 17:47:00
1,VDF_1,VDF_1_VDF_Uv,2025-08-07 12:33:00
2,BMU_1,AUXI_POWER_ABNORMALITY,2025-09-17 17:57:00
2,BMU_1,BMU_1_AUXI_POWER_ABNORMALITY,2025-08-07 13:43:00
2,BMU_1,BMU_1_BMS_FAULT,2025-11-06 14:30:00
2,BMU_1,BMU_1_CHARGE_PROHIBIT,2025-09-16 10:40:00
2,BMU_1,BMU_1_DISCHARGE_PROHIBIT,2025-09-16 10:40:00
2,BMU_1,BMU_1_ESBCM_LOST_COMM,2025-08-29 10:42:00
